"symbol","div_or_split","record_date","payment_date","amount","description"
"WLL","dividend","2022-02-21 00:00:00","2022-03-15 00:00:00",0.25,"Ordinary Shares (New)"
"WLL","dividend","2022-05-20 00:00:00","2022-06-01 00:00:00",0.25,"Ordinary Shares (New)"
"WLTW","dividend","2020-09-30 00:00:00","2020-10-15 00:00:00",0.68,"Ordinary Shares"
"WLTW","dividend","2020-12-31 00:00:00","2021-01-15 00:00:00",0.71,"Ordinary Shares"
"WLTW","dividend","2021-03-31 00:00:00","2021-04-15 00:00:00",0.71,"Ordinary Shares"
"WLTW","dividend","2021-05-31 00:00:00","2021-06-15 00:00:00",0.71,"Ordinary Shares"
"WLTW","dividend","2021-09-30 00:00:00","2021-10-15 00:00:00",0.8,"Ordinary Shares"
"WLTW","dividend","2021-12-31 00:00:00","2022-01-18 00:00:00",0.8,"Ordinary Shares"
"WM","dividend","2021-03-12 00:00:00","2021-03-26 00:00:00",0.575,"Ordinary Shares"
"WM","dividend","2021-06-04 00:00:00","2021-06-18 00:00:00",0.575,"Ordinary Shares"
"WM","dividend","2021-09-03 00:00:00","2021-09-17 00:00:00",0.575,"Ordinary Shares"
"WM","dividend","2021-12-03 00:00:00","2021-12-17 00:00:00",0.575,"Ordinary Shares"
"WM","dividend","2022-03-17 00:00:00","2022-03-31 00:00:00",0.65,"Ordinary Shares"
"WM","dividend","2022-06-03 00:00:00","2022-06-17 00:00:00",0.65,"Ordinary Shares"
"WMB","dividend","2021-03-12 00:00:00","2021-03-29 00:00:00",0.41,"Ordinary Shares"
"WMB","dividend","2021-06-11 00:00:00","2021-06-28 00:00:00",0.41,"Ordinary Shares"
"WMB","dividend","2021-09-10 00:00:00","2021-09-27 00:00:00",0.41,"Ordinary Shares"
"WMB","dividend","2021-12-10 00:00:00","2021-12-27 00:00:00",0.41,"Ordinary Shares"
"WMB","dividend","2022-03-11 00:00:00","2022-03-28 00:00:00",0.425,"Ordinary Shares"
"WMB","dividend","2022-06-10 00:00:00","2022-06-27 00:00:00",0.425,"Ordinary Shares"
"WMG","dividend","2021-11-23 00:00:00","2021-12-01 00:00:00",0.15,"Ordinary Shares - Class A"
"WMG","dividend","2022-02-18 00:00:00","2022-03-01 00:00:00",0.15,"Ordinary Shares - Class A"
"WMG","dividend","2022-05-23 00:00:00","2022-06-01 00:00:00",0.15,"Ordinary Shares - Class A"
"WMS","dividend","2021-12-01 00:00:00","2021-12-15 00:00:00",0.11,"Ordinary Shares"
"WMS","dividend","2022-03-01 00:00:00","2022-03-15 00:00:00",0.11,"Ordinary Shares"
"WMS","dividend","2022-06-01 00:00:00","2022-06-15 00:00:00",0.12,"Ordinary Shares"
"WMT","dividend","2020-08-14 00:00:00","2020-09-08 00:00:00",0.54,"Ordinary Shares"
"WMT","dividend","2020-12-11 00:00:00","2021-01-04 00:00:00",0.5400000214576721,"Ordinary Shares"
"WMT","dividend","2021-05-07 00:00:00","2021-06-01 00:00:00",0.55,"Ordinary Shares"
"WMT","dividend","2021-08-13 00:00:00","2021-09-07 00:00:00",0.55,"Ordinary Shares"
"WMT","dividend","2021-12-10 00:00:00","2022-01-03 00:00:00",0.55,"Ordinary Shares"
"WMT","dividend","2022-03-18 00:00:00","2022-04-04 00:00:00",0.56,"Ordinary Shares"
"WMT","dividend","2022-05-06 00:00:00","2022-05-31 00:00:00",0.56,"Ordinary Shares"
"WOOD","dividend","2021-12-14 00:00:00","2021-12-17 00:00:00",0.275117,"BTC iShares Global Timber & Forestry ETF"
"WPM","dividend","2020-11-25 00:00:00","2020-12-10 00:00:00",0.12,"Ordinary Shares"
"WPM","dividend","2021-03-26 00:00:00","2021-04-13 00:00:00",0.13,"Ordinary Shares"
"WPM","dividend","2021-05-21 00:00:00","2021-06-03 00:00:00",0.14,"Ordinary Shares"
"WPM","dividend","2021-08-27 00:00:00","2021-09-09 00:00:00",0.15,"Ordinary Shares"
"WPM","dividend","2021-11-22 00:00:00","2021-12-06 00:00:00",0.15,"Ordinary Shares"
"WPM","dividend","2022-03-24 00:00:00","2022-04-07 00:00:00",0.15,"Ordinary Shares"
"WPM","dividend","2022-05-20 00:00:00","2022-06-03 00:00:00",0.15,"Ordinary Shares"
"WPS","dividend","2021-12-14 00:00:00","2021-12-17 00:00:00",0.553477,"iShares International Developed Property ETF"
"WPS","dividend","2022-03-25 00:00:00","2022-03-30 00:00:00",0.161759,"iShares International Developed Property ETF"
"WRB","dividend","2022-03-09 00:00:00","2022-03-23 00:00:00",0.13,"Ordinary Shares"
"WRB","split","2022-03-04 00:00:00","2022-03-24 00:00:00",0.6666666666666666,"Ordinary Shares"
"WRB","dividend","2022-06-27 00:00:00","2022-07-07 00:00:00",0.5,"Ordinary Shares"
"WST","dividend","2021-04-21 00:00:00","2021-05-05 00:00:00",0.17,"Ordinary Shares"
"WST","dividend","2021-07-21 00:00:00","2021-08-04 00:00:00",0.17,"Ordinary Shares"
"WST","dividend","2021-11-10 00:00:00","2021-11-17 00:00:00",0.18,"Ordinary Shares"
"WST","dividend","2022-01-19 00:00:00","2022-02-02 00:00:00",0.18,"Ordinary Shares"
"WST","dividend","2022-04-20 00:00:00","2022-05-04 00:00:00",0.18,"Ordinary Shares"
"WTRG","dividend","2020-08-14 00:00:00","2020-09-01 00:00:00",0.2507,"Ordinary Shares"
"WTRG","dividend","2020-11-13 00:00:00","2020-12-01 00:00:00",0.2507,"Ordinary Shares"
"WTRG","dividend","2021-02-12 00:00:00","2021-03-01 00:00:00",0.2507,"Ordinary Shares"
"WTRG","dividend","2021-05-14 00:00:00","2021-06-01 00:00:00",0.2507,"Ordinary Shares"
"WTRG","dividend","2021-08-13 00:00:00","2021-09-01 00:00:00",0.2682,"Ordinary Shares"
"WTRG","dividend","2021-11-12 00:00:00","2021-12-01 00:00:00",0.2682,"Ordinary Shares"
"WTRG","dividend","2022-02-11 00:00:00","2022-03-01 00:00:00",0.2682,"Ordinary Shares"
"WTRG","dividend","2022-05-13 00:00:00","2022-06-01 00:00:00",0.2682,"Ordinary Shares"
"WTW","dividend","2022-03-31 00:00:00","2022-04-15 00:00:00",0.82,"Ordinary Shares"
"WTW","dividend","2022-06-30 00:00:00","2022-07-15 00:00:00",0.82,"Ordinary Shares"
"WU","dividend","2022-06-16 00:00:00","2022-06-30 00:00:00",0.235,"Ordinary Shares"
"WY","dividend","2021-06-04 00:00:00","2021-06-18 00:00:00",0.17,"Ordinary Shares"
"WY","dividend","2021-09-03 00:00:00","2021-09-17 00:00:00",0.17,"Ordinary Shares"
"WY","dividend","2021-12-03 00:00:00","2021-12-17 00:00:00",0.17,"Ordinary Shares"
"WY","dividend","2022-02-18 00:00:00","2022-02-28 00:00:00",1.45,"Ordinary Shares"
"WY","dividend","2022-03-17 00:00:00","2022-03-18 00:00:00",0.18,"Ordinary Shares"
"WY","dividend","2022-06-03 00:00:00","2022-06-17 00:00:00",0.18,"Ordinary Shares"
"X","dividend","2021-11-08 00:00:00","2021-12-09 00:00:00",0.05,"Ordinary Shares"
"X","dividend","2022-02-07 00:00:00","2022-03-08 00:00:00",0.05,"Ordinary Shares"
"X","dividend","2022-05-09 00:00:00","2022-06-08 00:00:00",0.05,"Ordinary Shares"
"XAR","dividend","2021-12-21 00:00:00","2021-12-23 00:00:00",0.1167,"SPDR S&P Aerospace & Defense ETF"
"XAR","dividend","2022-03-22 00:00:00","2022-03-24 00:00:00",0.125725,"SPDR S&P Aerospace & Defense ETF"
"XAR","dividend","2022-06-22 00:00:00","2022-06-24 00:00:00",0.117198,"SPDR S&P Aerospace & Defense ETF"
"XBI","dividend","2020-12-22 00:00:00","2020-12-24 00:00:00",0.176,"SSgA SPDR Biotech"
"XBI","dividend","2021-03-23 00:00:00","2021-03-25 00:00:00",0.04,"SPDR Biotech ETF"
"XEL","dividend","2021-06-15 00:00:00","2021-07-20 00:00:00",0.4575,"Ordinary Shares"
"XEL","dividend","2021-09-15 00:00:00","2021-10-20 00:00:00",0.4575,"Ordinary Shares"
"XEL","dividend","2021-12-22 00:00:00","2022-01-20 00:00:00",0.4575,"Ordinary Shares"
"XEL","dividend","2022-03-15 00:00:00","2022-04-20 00:00:00",0.4875,"Ordinary Shares"
"XEL","dividend","2022-06-15 00:00:00","2022-07-20 00:00:00",0.4875,"Ordinary Shares"
"XHB","dividend","2021-06-22 00:00:00","2021-06-24 00:00:00",0.0953,"SPDR Homebuilders ETF"
"XHB","dividend","2021-09-21 00:00:00","2021-09-23 00:00:00",0.0903,"SPDR Homebuilders ETF"
"XHB","dividend","2021-12-21 00:00:00","2021-12-23 00:00:00",0.1308,"SPDR Homebuilders ETF"
"XHB","dividend","2022-03-22 00:00:00","2022-03-24 00:00:00",0.157327,"SPDR Homebuilders ETF"
"XHB","dividend","2022-06-22 00:00:00","2022-06-24 00:00:00",0.138191,"SPDR Homebuilders ETF"
"XHE","dividend","2021-12-21 00:00:00","2021-12-23 00:00:00",0.0019,"SPDR S&P Health Care Equipment ETF"
"XHE","dividend","2022-03-22 00:00:00","2022-03-24 00:00:00",0.011745,"SPDR S&P Health Care Equipment ETF"
"XHE","dividend","2022-06-22 00:00:00","2022-06-24 00:00:00",0.002627,"SPDR S&P Health Care Equipment ETF"
"XLB","dividend","2020-12-22 00:00:00","2020-12-24 00:00:00",0.359334,"SSgA Materials Select Sector SPDR"
"XLB","dividend","2021-03-23 00:00:00","2021-03-25 00:00:00",0.3275,"Materials Select Sector SPDR"
"XLB","dividend","2021-06-22 00:00:00","2021-06-24 00:00:00",0.3486,"Materials Select Sector SPDR"
