timestamp,symbol,vwap,delayed_trade_date
2022-06-14 16:00:00,MPC,104.626455,2022-06-14
2022-06-14 17:00:00,MPC,103.435156,2022-06-14
2022-06-14 18:00:00,MPC,102.627,2022-06-14
2022-06-14 19:00:00,MPC,102.356845,2022-06-14
2022-06-15 13:00:00,MPC,102.457936,2022-06-15
2022-06-15 14:00:00,MPC,101.013466,2022-06-15
2022-06-15 15:00:00,MPC,99.907181,2022-06-15
2022-06-15 16:00:00,MPC,100.333591,2022-06-15
2022-06-15 17:00:00,MPC,99.654642,2022-06-15
2022-06-15 18:00:00,MPC,98.438289,2022-06-15
2022-06-15 19:00:00,MPC,98.959657,2022-06-15
2022-06-16 13:00:00,MPC,96.188802,2022-06-16
2022-06-16 14:00:00,MPC,94.972175,2022-06-16
2022-06-16 15:00:00,MPC,94.221229,2022-06-16
2022-06-16 16:00:00,MPC,93.564647,2022-06-16
2022-06-16 17:00:00,MPC,93.465878,2022-06-16
2022-06-16 18:00:00,MPC,91.770691,2022-06-16
2022-06-16 19:00:00,MPC,91.979201,2022-06-16
2022-06-17 13:00:00,MPC,91.606703,2022-06-17
2022-06-17 14:00:00,MPC,89.51794,2022-06-17
2022-06-17 15:00:00,MPC,87.063448,2022-06-17
2022-06-17 16:00:00,MPC,86.902463,2022-06-17
2022-06-17 17:00:00,MPC,86.496354,2022-06-17
2022-06-17 18:00:00,MPC,87.535021,2022-06-17
2022-06-17 19:00:00,MPC,87.693076,2022-06-17
2022-06-21 13:00:00,MPC,90.368705,2022-06-21
2022-06-21 14:00:00,MPC,92.090002,2022-06-21
2022-06-21 15:00:00,MPC,91.448368,2022-06-21
2022-06-21 16:00:00,MPC,91.043059,2022-06-21
2022-06-21 17:00:00,MPC,91.687262,2022-06-21
2022-06-21 18:00:00,MPC,91.435804,2022-06-21
2022-06-21 19:00:00,MPC,91.626671,2022-06-21
2022-06-22 13:00:00,MPC,88.687386,2022-06-22
2022-06-22 14:00:00,MPC,90.356204,2022-06-22
2022-06-22 15:00:00,MPC,89.76457,2022-06-22
2022-06-22 16:00:00,MPC,89.208794,2022-06-22
2022-06-22 17:00:00,MPC,89.820296,2022-06-22
2022-06-22 18:00:00,MPC,90.327647,2022-06-22
2022-06-22 19:00:00,MPC,89.540853,2022-06-22
2022-06-23 13:00:00,MPC,88.559603,2022-06-23
2022-06-23 14:00:00,MPC,87.503934,2022-06-23
2022-06-23 15:00:00,MPC,85.771079,2022-06-23
2022-06-23 16:00:00,MPC,84.357499,2022-06-23
2022-06-23 17:00:00,MPC,84.123438,2022-06-23
2022-06-23 18:00:00,MPC,83.861336,2022-06-23
2022-06-23 19:00:00,MPC,84.689019,2022-06-23
2022-06-24 13:00:00,MPC,85.388216,2022-06-24
2022-06-24 14:00:00,MPC,87.212371,2022-06-24
2022-06-24 15:00:00,MPC,87.57969,2022-06-24
2022-06-24 16:00:00,MPC,86.459318,2022-06-24
2022-06-24 17:00:00,MPC,85.597826,2022-06-24
2022-06-24 18:00:00,MPC,85.536784,2022-06-24
2022-06-24 19:00:00,MPC,85.708965,2022-06-24
2022-06-27 13:00:00,MPC,86.743172,2022-06-27
2022-06-27 14:00:00,MPC,87.4595,2022-06-27
2022-06-27 15:00:00,MPC,88.010553,2022-06-27
2022-06-27 16:00:00,MPC,87.504294,2022-06-27
2022-06-27 17:00:00,MPC,87.784483,2022-06-27
