eth_cust_address,address,symbol,target_position_value,date_time
0x116ad9501fc710d133a30e43797222c41821aca6,0x116Ad9501FC710d133A30E43797222C41821ACa6,BX,0.100,2022-02-16 14:20:29
0x116ad9501fc710d133a30e43797222c41821aca6,0x116Ad9501FC710d133A30E43797222C41821ACa6,VLRS,0.100,2022-02-16 14:20:29
0x116ad9501fc710d133a30e43797222c41821aca6,0x116Ad9501FC710d133A30E43797222C41821ACa6,QCOM,0.100,2022-02-16 14:20:29
0x1499ed9bdf299e7433767a965720f66baaad06cc,0x1499ed9bdf299e7433767a965720f66baaad06cc,BLANK,0,1970-01-01 05:00:00
0x14dd41f79178cfb78a16f7ec97a56dcd2a0e5f45,0x14dd41f79178cfb78a16f7ec97a56dcd2a0e5f45,BLANK,0,1970-01-01 05:00:00
0x159e73adae0fd1eb91697ee94f34d79f55a0b7b2,0x159e73adae0fd1eb91697ee94f34d79f55a0b7b2,BLANK,0,1970-01-01 05:00:00
0x172b5ee38cdff702af0ab16ccc0934cb4a6816c9,0x172b5eE38Cdff702AF0aB16CcC0934CB4A6816C9,BABA,0.377,2021-12-31 02:27:36
0x172b5ee38cdff702af0ab16ccc0934cb4a6816c9,0x172b5eE38Cdff702AF0aB16CcC0934CB4A6816C9,TSLA,0.339,2021-12-31 02:27:36
0x172b5ee38cdff702af0ab16ccc0934cb4a6816c9,0x172b5eE38Cdff702AF0aB16CcC0934CB4A6816C9,SOLUSDT,0.285,2021-12-31 02:27:36
0x173c441b61efec6b653bd2f0d8da30ed887b280a,0x173c441b61EfEC6b653bd2F0d8Da30Ed887b280A,GOOG,0.301,2021-12-31 08:05:19
0x173c441b61efec6b653bd2f0d8da30ed887b280a,0x173c441b61EfEC6b653bd2F0d8Da30Ed887b280A,CDLX,0.272,2021-12-31 08:05:19
0x173c441b61efec6b653bd2f0d8da30ed887b280a,0x173c441b61EfEC6b653bd2F0d8Da30Ed887b280A,FB,0.220,2021-12-31 08:05:19
0x173c441b61efec6b653bd2f0d8da30ed887b280a,0x173c441b61EfEC6b653bd2F0d8Da30Ed887b280A,SE,0.207,2021-12-31 08:05:19
0x1b9dafcf029ad9a8720e108657a1b06bdba18c83,0x1b9dafcf029ad9a8720e108657a1b06bdba18c83,BLANK,0,1970-01-01 05:00:00
0x237017a78a1f613cf59b779042e49411e8f10587,0x237017A78A1F613cf59b779042E49411e8f10587,AAPL,0.182,2021-12-31 10:50:51
0x23d3ce4abfcad7541a5a6e2c4a5251876264bd44,0x23d3ce4abFcaD7541A5A6e2c4a5251876264BD44,BTCUSDT,0.965,2021-12-31 04:38:37
0x23d3ce4abfcad7541a5a6e2c4a5251876264bd44,0x23d3ce4abFcaD7541A5A6e2c4a5251876264BD44,ADAUSDT,0.019,2021-12-31 04:38:37
0x23d3ce4abfcad7541a5a6e2c4a5251876264bd44,0x23d3ce4abFcaD7541A5A6e2c4a5251876264BD44,ETHUSDT,0.010,2021-12-31 04:38:37
0x23d3ce4abfcad7541a5a6e2c4a5251876264bd44,0x23d3ce4abFcaD7541A5A6e2c4a5251876264BD44,NXE,0.009,2021-12-31 04:38:37
0x23d3ce4abfcad7541a5a6e2c4a5251876264bd44,0x23d3ce4abFcaD7541A5A6e2c4a5251876264BD44,BTCUSDT,0.102,2022-01-05 20:34:21
0x23d3ce4abfcad7541a5a6e2c4a5251876264bd44,0x23d3ce4abFcaD7541A5A6e2c4a5251876264BD44,ETHUSDT,0.86,2022-01-05 20:34:21
0x23d3ce4abfcad7541a5a6e2c4a5251876264bd44,0x23d3ce4abFcaD7541A5A6e2c4a5251876264BD44,ETHUSDT,0.845,2022-01-21 17:59:35
0x23d3ce4abfcad7541a5a6e2c4a5251876264bd44,0x23d3ce4abFcaD7541A5A6e2c4a5251876264BD44,BTCUSDT,0.114,2022-01-21 17:59:35
0x23d3ce4abfcad7541a5a6e2c4a5251876264bd44,0x23d3ce4abFcaD7541A5A6e2c4a5251876264BD44,ADAUSDT,0.023,2022-01-21 17:59:35
0x23d3ce4abfcad7541a5a6e2c4a5251876264bd44,0x23d3ce4abFcaD7541A5A6e2c4a5251876264BD44,NXE,0.012,2022-01-21 17:59:35
0x23d3ce4abfcad7541a5a6e2c4a5251876264bd44,0x23d3ce4abFcaD7541A5A6e2c4a5251876264BD44,ADAUSDT,0.03,2022-02-11 21:06:23
0x23d3ce4abfcad7541a5a6e2c4a5251876264bd44,0x23d3ce4abFcaD7541A5A6e2c4a5251876264BD44,ETHUSDT,0.851,2022-04-18 22:01:06
0x23d3ce4abfcad7541a5a6e2c4a5251876264bd44,0x23d3ce4abFcaD7541A5A6e2c4a5251876264BD44,BTCUSDT,0.11199999999999999,2022-04-18 22:01:06
