symbol,market_entry_date,market_entry_date_time,vwap
MELI,2021-12-30,2021-12-30 15:00:00+00:00,1351.570836
MELI,2021-12-31,2021-12-31 15:00:00+00:00,1351.570836
MELI,2022-01-18,2022-01-18 23:00:00+00:00,1351.570836
MELI,2022-02-09,2022-02-09 15:00:00+00:00,1079.866009
MELI,2022-03-01,2022-03-01 15:00:00+00:00,1158.842166
MELI,2022-03-02,2022-03-02 21:00:00+00:00,1140.899969
MELI,2022-03-04,2022-03-04 16:00:00+00:00,1067.847245
MELI,2022-03-11,2022-03-11 21:00:00+00:00,891.701388
MELI,2022-03-22,2022-03-22 14:00:00+00:00,1198.346865
MELI,2022-03-23,2022-03-23 18:00:00+00:00,1222.046558
MELI,2022-03-29,2022-03-29 19:00:00+00:00,1259.788092
MELI,2022-04-05,2022-04-05 15:00:00+00:00,1229.68773
MELI,2022-04-11,2022-04-11 20:00:00+00:00,1125.690766
MELI,2022-04-18,2022-04-18 14:00:00+00:00,1058.342097
MELI,2022-04-27,2022-04-27 19:00:00+00:00,1026.007643
MELI,2022-04-28,2022-04-28 20:00:00+00:00,1038.940142
MELI,2022-04-22,2022-04-22 16:00:00+00:00,994.293781
MELI,2022-05-02,2022-05-02 23:00:00+00:00,994.293781
MELI,2022-05-04,2022-05-04 16:00:00+00:00,941.241553
MELI,2022-05-09,2022-05-09 20:00:00+00:00,771.166908
MELI,2022-05-10,2022-05-10 18:00:00+00:00,795.143274
MELI,2022-05-11,2022-05-11 14:00:00+00:00,754.593968
MELI,2022-05-18,2022-05-18 20:00:00+00:00,749.304543
MELI,2022-05-26,2022-05-26 20:00:00+00:00,783.440308
MELI,2022-06-01,2022-06-01 16:00:00+00:00,746.497226
MELI,2022-06-24,2022-06-24 14:00:00+00:00,746.497226
GLD,2021-12-30,2021-12-30 15:00:00+00:00,170.203592
GLD,2021-12-31,2021-12-31 15:00:00+00:00,170.203592
GLD,2022-01-18,2022-01-18 23:00:00+00:00,169.455479
GLD,2022-02-09,2022-02-09 15:00:00+00:00,170.783284
GLD,2022-03-01,2022-03-01 15:00:00+00:00,179.520479
GLD,2022-03-02,2022-03-02 21:00:00+00:00,179.738337
GLD,2022-03-04,2022-03-04 16:00:00+00:00,183.113105
GLD,2022-03-11,2022-03-11 21:00:00+00:00,185.109976
GLD,2022-03-22,2022-03-22 14:00:00+00:00,178.722766
GLD,2022-03-23,2022-03-23 18:00:00+00:00,180.95645
GLD,2022-03-29,2022-03-29 19:00:00+00:00,179.088157
GLD,2022-04-05,2022-04-05 15:00:00+00:00,179.808253
GLD,2022-04-11,2022-04-11 20:00:00+00:00,182.362781
GLD,2022-04-18,2022-04-18 14:00:00+00:00,185.593581
GLD,2022-04-27,2022-04-27 19:00:00+00:00,175.943912
GLD,2022-04-28,2022-04-28 20:00:00+00:00,176.9254
GLD,2022-04-22,2022-04-22 16:00:00+00:00,180.779189
GLD,2022-05-02,2022-05-02 23:00:00+00:00,173.810913
GLD,2022-05-04,2022-05-04 16:00:00+00:00,174.190846
GLD,2022-05-09,2022-05-09 20:00:00+00:00,172.859193
GLD,2022-05-10,2022-05-10 18:00:00+00:00,172.137966
GLD,2022-05-11,2022-05-11 14:00:00+00:00,172.604185
GLD,2022-05-18,2022-05-18 20:00:00+00:00,169.421313
GLD,2022-05-26,2022-05-26 20:00:00+00:00,172.749963
GLD,2022-06-01,2022-06-01 16:00:00+00:00,172.299663
GLD,2022-06-24,2022-06-24 14:00:00+00:00,172.299663
MSFT,2021-12-30,2021-12-30 15:00:00+00:00,337.141874
MSFT,2021-12-31,2021-12-31 15:00:00+00:00,337.141874
MSFT,2022-01-18,2022-01-18 23:00:00+00:00,302.750795
MSFT,2022-02-09,2022-02-09 15:00:00+00:00,308.541614
MSFT,2022-03-01,2022-03-01 15:00:00+00:00,298.578554
MSFT,2022-03-02,2022-03-02 21:00:00+00:00,300.153369
MSFT,2022-03-04,2022-03-04 16:00:00+00:00,288.497962
MSFT,2022-03-11,2022-03-11 21:00:00+00:00,280.067157
MSFT,2022-03-22,2022-03-22 14:00:00+00:00,302.739035
MSFT,2022-03-23,2022-03-23 18:00:00+00:00,301.003536
MSFT,2022-03-29,2022-03-29 19:00:00+00:00,315.092497
MSFT,2022-04-05,2022-04-05 15:00:00+00:00,312.296802
MSFT,2022-04-11,2022-04-11 20:00:00+00:00,285.263303
MSFT,2022-04-18,2022-04-18 14:00:00+00:00,281.192057
MSFT,2022-04-27,2022-04-27 19:00:00+00:00,284.271278
MSFT,2022-04-28,2022-04-28 20:00:00+00:00,289.604328
MSFT,2022-04-22,2022-04-22 16:00:00+00:00,277.540522
MSFT,2022-05-02,2022-05-02 23:00:00+00:00,283.726549
MSFT,2022-05-04,2022-05-04 16:00:00+00:00,280.747991
MSFT,2022-05-09,2022-05-09 20:00:00+00:00,264.58405
MSFT,2022-05-10,2022-05-10 18:00:00+00:00,272.191999
MSFT,2022-05-11,2022-05-11 14:00:00+00:00,266.978556
MSFT,2022-05-18,2022-05-18 20:00:00+00:00,254.073526
MSFT,2022-05-26,2022-05-26 20:00:00+00:00,265.881663
MSFT,2022-06-01,2022-06-01 16:00:00+00:00,270.823767
MSFT,2022-06-24,2022-06-24 14:00:00+00:00,270.823767
GRUB,2021-12-30,2021-12-30 15:00:00+00:00,10.696562
GRUB,2021-12-31,2021-12-31 15:00:00+00:00,10.696562
GRUB,2022-01-18,2022-01-18 23:00:00+00:00,10.696562
GRUB,2022-02-09,2022-02-09 15:00:00+00:00,9.952474
