eth_cust_address,address,chain,symbol,target_position_value,date_time,trade_id,date,delayed_trade_date_time,delayed_trade_date_closing_time,delayed_trade_date,timestamp,vwap,max_time_stamp,date_time_adj,ticker_date_time_rank,dta_rank,symbol_appearance_rank,dta_rank_prev,user_id,cash,usd_value,usd_value_prev,positions_usd,inception_return,gross_exposure_usd,long_exposure_usd,short_exposure_usd,net_exposure_usd,gross_exposure_percent,long_exposure_percent,short_exposure_percent,net_exposure_percent,gross_traded_usd,net_traded_usd,gross_traded_percent,net_traded_percent,unrealized_long_pnl,unrealized_short_pnl,unrealized_pnl,realized_long_pnl,realized_short_pnl,realized_pnl,total_long_pnl,total_short_pnl,total_pnl
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,SKL,TLT,0.15,2022-03-29 18:27:09,36,2022-03-29,2022-03-29 13:30:00,2022-03-29 20:00:00,2022-03-29,2022-03-29 19:00:00+00:00,0.0,,2022-03-29 19:00:00+00:00,1,10.0,2.0,9.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,SKL,FNV,0.05,2022-03-29 18:27:09,37,2022-03-29,2022-03-29 13:30:00,2022-03-29 20:00:00,2022-03-29,2022-03-29 19:00:00+00:00,0.0,,2022-03-29 19:00:00+00:00,1,10.0,2.0,9.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,SKL,GLD,0.03,2022-03-29 18:27:09,38,2022-03-29,2022-03-29 13:30:00,2022-03-29 20:00:00,2022-03-29,2022-03-29 19:00:00+00:00,0.0,,2022-03-29 19:00:00+00:00,1,10.0,2.0,9.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,SKL,MELI,0.02,2022-04-05 14:37:40,39,2022-04-05,2022-04-05 13:30:00,2022-04-05 20:00:00,2022-04-05,2022-04-05 15:00:00+00:00,0.0,,2022-04-05 15:00:00+00:00,1,11.0,2.0,10.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,SKL,FB,0.242,2022-04-11 19:38:40,40,2022-04-11,2022-04-11 13:30:00,2022-04-11 20:00:00,2022-04-11,2022-04-11 20:00:00+00:00,0.0,,2022-04-11 20:00:00+00:00,1,12.0,3.0,11.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,SKL,ETHUSD,0.162,2022-04-11 19:38:40,41,2022-04-11,2022-04-11 13:30:00,2022-04-11 20:00:00,2022-04-11,2022-04-11 20:00:00+00:00,2993.070565,2022-04-11 23:00:00+00:00,2022-04-11 20:00:00+00:00,1,12.0,6.0,11.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,SKL,BTCUSD,0.10099999999999999,2022-04-11 19:38:40,43,2022-04-11,2022-04-11 13:30:00,2022-04-11 20:00:00,2022-04-11,2022-04-11 20:00:00+00:00,39810.773354,2022-04-11 23:00:00+00:00,2022-04-11 20:00:00+00:00,1,12.0,2.0,11.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,SKL,ABNB,0.073,2022-04-11 19:38:40,44,2022-04-11,2022-04-11 13:30:00,2022-04-11 20:00:00,2022-04-11,2022-04-11 20:00:00+00:00,0.0,,2022-04-11 20:00:00+00:00,1,12.0,2.0,11.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,SKL,FNV,0.057,2022-04-11 19:38:40,45,2022-04-11,2022-04-11 13:30:00,2022-04-11 20:00:00,2022-04-11,2022-04-11 20:00:00+00:00,0.0,,2022-04-11 20:00:00+00:00,1,12.0,3.0,11.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,SKL,GLD,0.033,2022-04-11 19:38:40,46,2022-04-11,2022-04-11 13:30:00,2022-04-11 20:00:00,2022-04-11,2022-04-11 20:00:00+00:00,0.0,,2022-04-11 20:00:00+00:00,1,12.0,3.0,11.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
