,trade_id,address,chain,symbol,target_position_value,entry_date_time,next_market_open,market_entry_date_time,market_entry_date,vwap,post_cumulative_share_count,realized_profit,prior_portfolio_value,current_position,prior_position_value,cash_used,share_count,prior_cumulative_share_count,adjusted_entry
1723,242,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,ITUB,0.0,2022-03-09 17:05:19,2022-03-09 14:30:00,2022-03-09 18:00:00,2022-03-09,4.983353,0.0,0.0,10187.470525356632,0.0,115.24548758556774,115.24548758556774,-23.12609353292206,23.12609353292206,0.0
1730,243,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,TECK,0.0,2022-03-09 17:05:19,2022-03-09 14:30:00,2022-03-09 18:00:00,2022-03-09,39.78525,0.0,-0.0,10187.470525356632,0.0,110.92070257848972,110.92070257848972,-2.787985561947951,2.787985561947951,0.0
1737,244,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,FWONK,0.0,2022-03-09 17:05:19,2022-03-09 14:30:00,2022-03-09 18:00:00,2022-03-09,57.829275,0.0,0.0,10187.470525356632,0.0,98.31092782630448,98.31092782630448,-1.7000200646870374,1.7000200646870374,0.0
1744,245,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,MLM,0.0,2022-03-09 17:05:19,2022-03-09 14:30:00,2022-03-09 18:00:00,2022-03-09,373.805569,0.0,0.0,10187.470525356632,0.0,101.87360291014436,101.87360291014436,-0.2725309930043989,0.2725309930043989,0.0
1751,246,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,URA,509.3735262678316,2022-03-09 17:19:52,2022-03-09 14:30:00,2022-03-09 18:00:00,2022-03-09,24.68605,20.63406362167425,17.24514564651405,10187.470525356632,509.3735262678316,473.6743297436718,-35.69919652415979,1.4461283406685066,19.187935281005743,0.0
1758,247,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,GDXJ,509.3735262678316,2022-03-09 17:19:52,2022-03-09 14:30:00,2022-03-09 18:00:00,2022-03-09,46.987789,10.840551068870926,-0.4478556863082903,10187.470525356632,509.3735262678316,331.4906551373935,-177.8828711304381,3.7857255026500205,7.054825566220907,0.0
1766,248,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,SLV,509.3735262678316,2022-03-09 17:19:52,2022-03-09 14:30:00,2022-03-09 18:00:00,2022-03-09,23.609864,21.57460654020843,-3.8718220389189044,10187.470525356632,509.37352626783166,297.8644806230673,-211.50904564476429,8.958503346091458,12.616103194116972,0.0
1773,249,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,GDX,305.62411576069894,2022-03-09 17:19:52,2022-03-09 14:30:00,2022-03-09 18:00:00,2022-03-09,37.642682,8.119084494582477,1.8355950988731862,10187.470525356632,305.62411576069894,223.0550408626357,-82.56907489806323,2.1934960664615564,5.925588428120921,0.0
1779,250,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,SILJ,305.62411576069894,2022-03-09 17:19:52,2022-03-09 14:30:00,2022-03-09 18:00:00,2022-03-09,14.257857,21.435487518264416,-4.562693566675201,10187.470525356632,305.62411576069894,223.28593068948845,-82.33818507121049,5.774934134295953,15.660553383968464,0.0
1784,251,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,COPX,305.62411576069894,2022-03-09 17:19:52,2022-03-09 14:30:00,2022-03-09 18:00:00,2022-03-09,42.54,7.184393882479994,22.0129828559187,10187.470525356632,305.62411576069894,127.05039956365083,-178.5737161970481,4.197783643560134,2.9866102389198597,0.0
1792,252,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,CRON,509.3735262678316,2022-03-09 18:06:22,2022-03-09 14:30:00,2022-03-09 19:00:00,2022-03-09,3.159897,161.1994081667319,57.68053342962816,10187.470525356632,509.3735262678316,411.58309173956303,-97.79043452826858,30.947348767465705,130.2520593992662,0.0
1799,253,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,BABA,458.4361736410484,2022-03-09 18:06:22,2022-03-09 14:30:00,2022-03-09 19:00:00,2022-03-09,99.747952,4.59594572569318,-8.196124658566227,10187.470525356632,458.43617364104836,398.0528724618316,-60.3833011792168,0.6053588065569186,3.990586919136261,0.0
1820,254,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,ETHUSD,356.56146838748214,2022-03-09 18:06:22,2022-03-09 14:30:00,2022-03-09 19:00:00,2022-03-09,2685.292595,0.13278309747377162,54.71912016045223,10187.470525356632,399.69323064969166,252.56613990310103,-103.9953284843811,0.03872774560136197,0.09405535187240965,0.0
