,id,corporate_action_id,ca_type,ca_sub_type,initiating_symbol,initiating_original_cusip,target_symbol,target_original_cusip,record_date,cash,old_rate,new_rate,ex_date
117,3e932613-d1ae-4e92-ae95-85ab047d72f0,2338427,merger,merger_completion,ONB,680033107,FMBI,320867104,,0,1,1.1336,
118,d3f42d51-1652-4405-b970-a871a37628b1,2338429,merger,merger_completion,ONB,680033107,FMBIP,320867203,,0,1,0,
119,17a4117e-9015-41fe-aba6-631a5c7f51a9,2338430,merger,merger_completion,ONB,680033107,FMBIO,320867500,,0,1,0,
120,f320fa4f-9e6d-4378-ab7b-030ffdfe0c3a,2339232,merger,merger_completion,ONB,680033107,,,,0,1,0,
121,ae4712cd-661a-4c18-b119-417a2efbcb85,2339233,merger,merger_completion,ONB,680033107,,,,0,1,0,
122,1f983272-a527-4086-b121-ec294cdfa638,2339474,merger,merger_completion,,,,,,0,1,0.77033,
123,97a9687f-206c-45be-9eca-8956cdc1a4f5,2339475,merger,merger_completion,,,,,,0,1,0.96903,
124,50f564ac-d8d4-401f-aed5-5d0b1f273969,2339229,merger,merger_completion,,,CSLT,14862Q100,,2.05,1,0,
125,0f317eed-71b6-4cb0-9b9b-f7a33927b112,2339227,merger,merger_update,ONB,680033107,,,,0,1,0,
126,4b0965a4-11cd-43c8-9f3f-16cc3230510f,2339228,merger,merger_update,ONB,680033107,,,,0,1,0,
127,20f6b102-2353-4f21-9139-ae9ecafaf674,2339708,merger,merger_completion,,,,,,0,1,0.75652,
128,3bf446ab-e24c-4d1f-aece-c174369a30b1,2339853,merger,merger_completion,,,HLTY,43350P100,,0,1,1,
129,c2de3dc2-6240-4fa8-9a77-522c7d4ed191,2340355,merger,merger_completion,TCFF,852293109,,,,0,1,1,
130,f1e866f0-2d58-4c67-81d1-de45d2141ab8,2340307,merger,merger_completion,,,VCRA,92857F107,,79.25,1,0,
131,71df621f-7ee8-4d61-83a0-380845ceb608,2340406,merger,merger_completion,WTTR,81617J301,NES,67091K302,,0,1,0.2551,
132,457423b1-6d35-4b0a-9262-ec069557fe67,2340336,merger,merger_update,,,,,,0,1,0,
133,811e2dbe-29f2-4679-8b57-7609add08c87,2341090,merger,merger_completion,,,RRD,257867101,,10.85,1,0,
134,2766bed6-bab0-4abd-b7a6-c002e5006a65,2341346,merger,merger_completion,,,MNR,609720107,,21,1,0,
135,22bca1a1-b8ae-429d-b214-9e0659535a4c,2341348,merger,merger_completion,,,MNR.PRC,609720404,,25,1,0,
136,d77a4508-2129-437d-ac1e-e03dbab353d2,2341310,merger,merger_completion,CLSE,89834G760,MARNX,89833W535,,0,1,1,
137,33d51c49-391b-4a0c-9129-cb460148370d,2341321,merger,merger_completion,KGC,496902107,GTBAF,390143105,,25.7984,1,0.42575,2022-02-09
138,0759b4c3-5e3c-47fe-b23f-f7e135da6b25,2341323,merger,merger_completion,KGC,496902107,GTBAF,390143105,,0,1,0,2022-02-09
139,99129812-320f-426b-9279-d649e83da5fd,2341731,merger,merger_completion,SPGI,580645109,INFO,G58249106,,0,1,0.2838,
140,d4b488da-1189-4e2e-a2eb-6fa6f561131d,2341961,merger,merger_completion,SSB,320942105,ACBI,048269203,,0,1,0.36,
141,ae57bc08-ecc1-4d3e-bb69-a7cd8eb09e3e,2341766,merger,merger_completion,BBDC,895848109,SIRR,82632T100,,0.97836,1,0.44973,
142,cea54059-3f66-47ac-9556-a87777418c0d,2342116,merger,merger_completion,,,STFC,855707105,,52,1,0,
143,8497cc37-9196-4c6f-b36e-811d4553c5aa,2342179,merger,merger_completion,,,MCFE,579063108,,26,1,0,
144,077fb84d-e756-4626-81ac-af1532b3a497,2342274,merger,merger_completion,,,SNII,G8T86C105,,0,1,1,
145,940e5a70-fda2-4cb9-ad91-70bbbd5a75e7,2342276,merger,merger_completion,,,SNII.WS,G8T86C121,,0,1,0,
146,af4c4f91-81bb-46cb-8a18-b6d289fac964,2342360,merger,merger_completion,,,CMLEF,199910100,,11.75,1,0,
147,353262e3-e36b-495b-8720-47f07d864332,2342313,merger,merger_completion,,,CMLEF,199910100,,11.75,1,0,
148,c10c0548-8d6a-4bde-8396-cc40f0446a61,2342896,merger,merger_completion,,,NSGDF,62942A108,,0.4,1,0,
149,aff2cda7-17d4-437e-a1f3-a2cbe01db155,2342895,merger,merger_completion,PLNHF,72706K101,NXGWF,65343L102,,0.0001,1,0.1145,
150,5a4ab175-8770-4fd1-b8bf-3d1b8333ff96,2342592,merger,merger_completion,DGTHF,23343T104,ELBSF,29282R108,,0,1,0.1136,
151,488326a1-19cb-41c3-a8a9-2aa2b50573b9,2343113,merger,merger_completion,,,CPLG,21872L104,,15.99,1,0,
152,181fd8d5-d58b-41b3-9b74-95a6c68d4256,2343542,merger,merger_completion,,,FTSI,30283W302,,26.52,1,0,
153,b87f67f2-6b19-4c03-9903-cecd095cf544,2343533,merger,merger_completion,MSFT,594918104,NUAN,92830V104,,56,1,0,
154,d1413378-4fb3-4d5f-b2c4-7c84e38e3753,2344850,merger,merger_completion,,,HCCC,42228C101,,0,1,1,
155,c611cd3f-e876-46d9-93af-426719718f5b,2344868,merger,merger_completion,,,HCCCW,42228C119,,0,1,0,
156,1f11eafc-0ea7-4c62-abca-1d47bcb2b720,2344780,merger,merger_completion,,,ZGNX,98978L105,,0,1,0,
157,cb306fdf-9b38-4b10-a6dd-71f27dd5934e,2344809,merger,merger_completion,SYBT,785060104,,,,11.2,1,0.9267,
158,7903a7f4-92e4-4d5f-911b-52664b13abb9,2344779,merger,merger_completion,KYN,486606106,FMO,31647Q106,,0,1,1.36622,
159,80dfdd79-c247-4fd9-a676-62d34e69bcb6,2344848,merger,merger_update,,,HCCC,42228C101,,0,1,0,
160,c6c26976-cf46-4dc5-a096-6cc12ce96a25,2345162,merger,merger_completion,,,,,,3.04,1,0,
161,bdebf0d6-3bf5-4dab-be5f-836de346c00e,2345169,merger,merger_completion,,,,,,3.97,1,0,
162,0429d9c3-6fe5-4e0a-ab54-71da6e5b055a,2345146,merger,merger_update,,,,,,3.04,1,0,
163,5ea59a53-81a6-461f-a4b8-b14f4fc17bf0,2345107,merger,merger_completion,JACK,344839204,TACO,52748T104,,12.51,1,0,
164,50e176c7-4fe2-421c-bc7e-6a697163b7cb,2345104,merger,merger_update,,,,,,3.97,1,0,
